title,price,rating,product_url,image url
Men Printed Round Neck Cotton Blend Black T-Shirt,₹299,3.9,https://www.flipkart.com/jugular-printed-men-round-neck-black-t-shirt/p/itm423a2702f1735?pid=TSHGZDQSEHGPXYRR&lid=LSTTSHGZDQSEHGPXYRRWDUNCS&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_1&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk7-t167vJLOtgI56hmdRi5OhDRMOT-6cUhsDYsjv3uC2ug%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/1000/1000/xif0q/t-shirt/o/h/s/m-1jgrh-lsefit-kong-blk-jugular-original-imagr6t8qrnu4hjt.jpeg?q=70
Men Printed Round Neck Cotton Blend Light Blue T-Shirt,₹259,3.7,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-light-blue-t-shirt/p/itm0f2494eef7d30?pid=TSHGKRPJBV3ZZB59&lid=LSTTSHGKRPJBV3ZZB59RPSYMM&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_2&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk79lNYxf-rlo_VT197g1bi_dKSsT9SEmi0EED-ygFjRZ8A%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/1000/1000/xif0q/t-shirt/z/0/k/l-all-rbcpon-sky-one-nb-nicky-boy-original-imagrdhcgyk7papf.jpeg?q=70
"Men Striped Round Neck Cotton Blend Blue, Black T-Shirt",₹199,4,https://www.flipkart.com/ausk-striped-men-round-neck-blue-black-t-shirt/p/itmc4b97a0badb26?pid=TSHGHU9FWVZFMTEH&lid=LSTTSHGHU9FWVZFMTEHL7DCSL&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_3&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGHU9FWVZFMTEH.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/r/v/k/m-ausk0165-ausk-original-imaghu9fbhcgf2za.jpeg?q=70
"Men Colorblock Round Neck Cotton Blend White, Black T-Shirt",₹199,4.1,https://www.flipkart.com/try-colorblock-men-round-neck-white-black-t-shirt/p/itme7eb0664937f4?pid=TSHGYCHZYUEHX5TX&lid=LSTTSHGYCHZYUEHX5TXKCSGEN&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_4&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGYCHZYUEHX5TX.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/kl6wx3k0/t-shirt/y/n/i/s-bbt-try-this-original-imagydarhsryeahn.jpeg?q=70
"Men Striped Round Neck Cotton Blend Light Blue, White T-Shirt",₹199,4,https://www.flipkart.com/ausk-striped-men-round-neck-light-blue-white-t-shirt/p/itm705ccbfff5d1a?pid=TSHGZBP8FRGWZWPD&lid=LSTTSHGZBP8FRGWZWPDHZUMPK&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_5&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGZBP8FRGWZWPD.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/j/4/j/m-auk0164-ausk-original-imagzbp8thhsa5y5.jpeg?q=70
Men Checkered Round Neck Poly Cotton Grey T-Shirt,₹279,4,https://www.flipkart.com/vebnor-checkered-men-round-neck-grey-t-shirt/p/itma5b7a9b4c6bc5?pid=TSHGHXVBJXK5FDBW&lid=LSTTSHGHXVBJXK5FDBWJRZ2UB&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_6&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGHXVBJXK5FDBW.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/l/h/x/s-ts12-vebnor-original-imagm6zvj4wrmyng.jpeg?q=70
Men Tailored Fit Floral Print Button Down Collar Casual Shirt,₹539,4.8,https://www.flipkart.com/deemoon-men-floral-print-casual-yellow-shirt/p/itm21cbf5464029f?pid=SHTGRQQGQMMJGGVN&lid=LSTSHTGRQQGQMMJGGVNTAWSSW&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_7&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.SHTGRQQGQMMJGGVN.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/a/f/p/40-fulcolflwer02-deemoon-original-imagrqqfwxknmuwp.jpeg?q=70
Men Regular Fit Solid Mandarin Collar Casual Shirt,₹385,3.9,https://www.flipkart.com/paul-jordan-men-solid-casual-blue-shirt/p/itm277e3c369de4e?pid=SHTG4J454BGSSF95&lid=LSTSHTG4J454BGSSF95FTV9PO&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_8&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk7-eSCZ4fqwKat797PkIHctxVjZI0_GyFdhuwOmeODaHJQ%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/e/7/k/m-men-slim-fit-solid-mandarin-collar-casual-shirt-juhil-bazar-original-imag4h5nphqhwh9h-bb.jpeg?q=70
"Men Striped Round Neck Cotton Blend Pink, White T-Shirt",₹199,4,https://www.flipkart.com/ausk-striped-men-round-neck-pink-white-t-shirt/p/itm039853d3b4a22?pid=TSHGZBP84BNC6Q52&lid=LSTTSHGZBP84BNC6Q52VXPASG&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_9&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGZBP84BNC6Q52.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/b/w/q/xl-auk0163-ausk-original-imagzbp8yzz5an8k.jpeg?q=70
Men Checkered Round Neck Poly Cotton Blue T-Shirt,₹279,4,https://www.flipkart.com/vebnor-checkered-men-round-neck-blue-t-shirt/p/itma710e2db5402e?pid=TSHGHXV9AUUFUHZV&lid=LSTTSHGHXV9AUUFUHZV1U3CZJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_10&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGHXV9AUUFUHZV.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/s/k/x/xl-ts12-vebnor-original-imagppbxjkdhyghw.jpeg?q=70
Men Printed Round Neck Cotton Blend Black T-Shirt,₹299,3.9,https://www.flipkart.com/jugular-printed-men-round-neck-black-t-shirt/p/itmf7bddc8f90ac5?pid=TSHGZDQSHAZYGG5S&lid=LSTTSHGZDQSHAZYGG5SNYG9PX&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_11&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk7-MLhbtJ3VmeLDj5imrba79zIFtWd4mRnMB7qdrQT6Fuw%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/h/a/g/m-1jgrh-lsefit-skull-blk-jugular-original-imagrcjdngju29vt.jpeg?q=70
Men Regular Fit Striped Button Down Collar Casual Shirt,"₹1,377",4.2,https://www.flipkart.com/u-s-polo-assn-men-striped-casual-pink-shirt/p/itmf364145f25b21?pid=SHTGHQX4FAMHERAQ&lid=LSTSHTGHQX4FAMHERAQADZGX3&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_12&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk78vHQUftdNeT4juEkh7eftUCeth9QG2f0z7l7zKv6aIQA%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/c/n/e/m-ussht0718-u-s-polo-association-original-imaggcpksbszuhyb.jpeg?q=70
Men Typography Round Neck Cotton Blend Black T-Shirt,₹189,4,https://www.flipkart.com/smartees-typography-men-round-neck-black-t-shirt/p/itm8678d18e2bc14?pid=TSHGNQSZ2QGVCHPK&lid=LSTTSHGNQSZ2QGVCHPKKFFV3P&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=BestsellerId_clo%2Fash&srno=b_1_13&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGNQSZ2QGVCHPK.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/954/954/xif0q/t-shirt/t/e/0/l-st-theboys-black-smartees-original-imagnqszzzzyuzru.jpeg?q=70
Men Regular Fit Printed Spread Collar Casual Shirt,₹289,4,https://www.flipkart.com/vebnor-men-printed-casual-black-shirt/p/itm0f2aa6f5d945e?pid=SHTGNEDY4HTUHHNW&lid=LSTSHTGNEDY4HTUHHNWGY7ODM&marketplace=FLIPKART&store=clo%2Fash&spotlightTagId=BestsellerId_clo%2Fash&srno=b_1_14&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.SHTGNEDY4HTUHHNW.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/c/o/e/s-st10-vebnor-original-imagzdsu8hkehz8f.jpeg?q=70
Pack of 5 Round_5_05_S Men Solid Round Neck Polyester Multicolor T-Shirt,₹399,3.9,https://www.flipkart.com/inktees-solid-men-round-neck-multicolor-t-shirt/p/itma02c01cac7e8e?pid=TSHG2KGGJDBQDDYC&lid=LSTTSHG2KGGJDBQDDYCTTFGS8&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_15&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHG2KGGJDBQDDYC.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/kpwybgw0/t-shirt/z/7/l/s-round-5-05-s-inktees-original-imag4f6qvhhbzubx.jpeg?q=70
Nikky Men Printed Round Neck Cotton Blend Black T-Shirt,₹199,3.9,https://www.flipkart.com/nb-nicky-boy-printed-men-round-neck-black-t-shirt/p/itm8cd9c96a67f21?pid=TSHGC74BRSQZQQPP&lid=LSTTSHGC74BRSQZQQPPZQRTGJ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_16&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGC74BRSQZQQPP.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/l0e6kcw0/t-shirt/h/g/d/m-half-triangel-black-one-nb-nicky-boy-original-imagc747apzffz5q.jpeg?q=70
Men Printed Round Neck Cotton Blend Black T-Shirt,₹299,3.9,https://www.flipkart.com/jugular-printed-men-round-neck-black-t-shirt/p/itm9d54fb9fe2bb7?pid=TSHGM6W3U3HUY7RK&lid=LSTTSHGM6W3U3HUY7RKRKGBNY&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk7_EMda2Hdg5ex_ZXLNOlh3nOyG75rjBrjnm-q7XGREY4w%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/l/0/h/m-1jgrh-lsefit-fball-blk-jugular-original-imagrfhdgmbuzyd5.jpeg?q=70
Men Regular Fit Printed Button Down Collar Casual Shirt,"₹1,218",4.1,https://www.flipkart.com/u-s-polo-assn-men-printed-casual-multicolor-shirt/p/itm0404ed65dc4e8?pid=SHTGGCY8NBAPVAH9&lid=LSTSHTGGCY8NBAPVAH9LCHO5F&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_18&otracker=browse&fm=organic&iid=en_faGXPB_O1njAlwdrmAgmHTXFyKaCyOre3RUckXHVk79JwmqLpYPs9Xk3jC0jUczLv4PYf5b7w1nzxYIYzMCY2A%3D%3D&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/h/c/l/-original-imagjffhzmkuatpd.jpeg?q=70
Men Typography Round Neck Cotton Blend Black T-Shirt,₹274,4.1,https://www.flipkart.com/blive-typography-men-round-neck-black-t-shirt/p/itm916157f6cb19a?pid=TSHGRHYZGG9TKERV&lid=LSTTSHGRHYZGG9TKERVMB9BKQ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_19&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGRHYZGG9TKERV.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/b/5/b/s-bblrnfull-k-z116-blive-original-imagrpkf9zzqcrfj.jpeg?q=70
Men Solid Polo Neck Cotton Blend (220 gsm) Green T-Shirt,₹299,4.1,https://www.flipkart.com/3bros-solid-men-polo-neck-green-t-shirt/p/itmd0551940a1b12?pid=TSHGBBN9PMESF2AK&lid=LSTTSHGBBN9PMESF2AKW8Z4DZ&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_20&otracker=browse&fm=organic&iid=5a80fc97-0d8d-49db-bbcc-b6ec199e4899.TSHGBBN9PMESF2AK.SEARCH&ppt=None&ppn=None&ssid=s62kpvpyuo0000001690642780763,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/s/c/p/m-db1024-15-3bros-original-imagz8zjfxthf7kn.jpeg?q=70
